data,user_id,username,question,number_of_question,answer,answer_index,seria_index
2023-11-26-13-24,644440906,Bre199ad11,Кто является автором романа «Война и мир»?,0,Лев Толстой,1,0
2023-11-26-13-30,644440906,Bre199ad11,Кто является автором романа «Война и мир»?,0,Александр Солженицын,2,0
2023-11-26-13-31,644440906,Bre199ad11,Кто является автором романа «Война и мир»?,0,Александр Солженицын,2,0
2023-11-26-13-34,644440906,Bre199ad11,Кто является автором романа «Война и мир»?,0,Александр Солженицын,2,0
2023-11-26-13-35,644440906,Bre199ad11,Кто является автором романа «Война и мир»?,0,Александр Солженицын,2,0
2023-11-26-13-36,644440906,Bre199ad11,Кто является автором романа «Война и мир»?,0,Антон Чехов,3,0
2023-11-26-13-36,644440906,Bre199ad11,Кто является автором романа «Война и мир»?,0,Федор Достоевксий,0,0
2023-11-26-13-38,644440906,Bre199ad11,Кто является автором романа «Война и мир»?,0,Лев Толстой,1,0
2023-11-26-13-40,644440906,Bre199ad11,Кто является автором романа «Война и мир»?,0,Александр Солженицын,2,0
2023-11-26-13-40,644440906,Bre199ad11,Какое животное считается символом мудрости во многих культурах?,1,Орел,2,0
2023-11-26-13-42,644440906,Bre199ad11,Кто является автором романа «Война и мир»?,0,Антон Чехов,3,0
2023-11-26-13-42,644440906,Bre199ad11,Какое животное считается символом мудрости во многих культурах?,1,Лев,1,0
2023-11-26-13-42,644440906,Bre199ad11,"Кто был первым человеком, ступившим на Луну?",2,Нил Армстронг,1,0
2023-11-26-13-42,644440906,Bre199ad11,Какая из следующих стран является самой большой по территории?,3,Канада,1,0
2023-11-26-13-43,644440906,Bre199ad11,Кто является автором романа «Война и мир»?,0,Лев Толстой,1,0
2023-11-26-13-50,644440906,Bre199ad11,Кто является автором романа «Война и мир»?,0,Федор Достоевксий,0,0
2023-11-26-13-50,644440906,Bre199ad11,Какое животное считается символом мудрости во многих культурах?,1,Орел,2,0
2023-11-26-13-50,644440906,Bre199ad11,"Кто был первым человеком, ступившим на Луну?",2,Юрий Гагарин,0,0
2023-11-26-13-50,644440906,Bre199ad11,Какая из следующих стран является самой большой по территории?,3,США,0,0
